Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Robert;Robert;;;Substantiv;mask.;;;Nom;Sing;;;;2385.0;836.0;1647.0;45.47;2749.0;1586.0;7383.0
BUCHMEIER,HERMIT;Roberts;Robert;;;Substantiv;;;;Gen;Sing;;;;6544.0;227.0;;;;7040.0;1111.0
BUCHMEIER,HERMIT;Robin;Robin;;;Substantiv;;;;Nom;Sing;;;;1443.0;1533.0;;;;1993.0;5524.0
BUCHMEIER,HERMIT;Robinson;Robinson;;;Substantiv;;;;Nom;Sing;;;;9148.0;145.0;;;;7811.0;973.0
BUCHMEIER,HERMIT;Roboter;roboter;;;Adverb;;;;;;Cmp;;;2594.0;757.0;;;;3534.0;2680.0
A2,BUCHMEIER,BW3,HERMIT,LEEDS,LEIPZIG;Rock;Rock;der;Röcke;Substantiv;mask.;https://www.dwds.de/wb/Rock#1;0.0;Nom;Sing;;;;2991.0;637.0;3235.0;20.72;4664.0;2493.0;4190.0
BUCHMEIER,HERMIT;Rocky;Rocky;;;Substantiv;;;;Nom;Sing;;;;5929.0;259.0;;;;5579.0;1496.0
BUCHMEIER,HERMIT;Rodney;Rodney;;;Substantiv;;;;Nom;Sing;;;;3749.0;470.0;;;;7582.0;1012.0
BUCHMEIER,HERMIT,LEEDS;Roger;Roger;;;Substantiv;mask.;;;Nom;Sing;;;;2086.0;994.0;4957.0;11.76;;1812.0;6221.0
B1;roh;roh;;;Adjektiv;;https://www.dwds.de/wb/roh;0.0;;;;;;;;;;;;
B1,BUCHMEIER,HERMIT;Rohr;Rohr;das;;Substantiv;neut.;https://www.dwds.de/wb/Rohr;0.0;Nom;Sing;;;;6561.0;226.0;;;;7767.0;980.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Roland;Roland;;;Substantiv;mask.;;;Nom;Sing;;;;8789.0;153.0;4235.0;14.57;6001.0;7231.0;1077.0
LEEDS,LEIPZIG;Rolf;Rolf;;;Substantiv;mask.;;;Nom;Sing;;;;;;4106.0;15.17;4225.0;;
BUCHMEIER,HERMIT;Roll;Roll;;;Substantiv;;;;Nom;Sing;;;;8788.0;153.0;;;;6352.0;1275.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Rolle;Rolle;die;;Substantiv;fem.;https://www.dwds.de/wb/Rolle#2;0.0;Nom;Sing;;;;1059.0;2259.0;369.0;191.8;443.0;1024.0;12375.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Rollen;Rolle;;;Substantiv;fem.;;;Nom;Plur;;;;5267.0;302.0;3588.0;18.12;4390.0;3859.0;2411.0
