"Nr","Wort","Klasse","individual"
"262","bald","3",""
"263","der Ball","3",""
"264","das Beispiel","3",""
"265","bekommen","3",""
"266","der Berg","3",""
"267","besiegen","3",""
"268","besser","3",""
"269","das Bett","3",""
"270","bevor","3",""
"271","bitten","3",""
"272","brauchen","3",""
"273","der Brief","3",""
"274","bringen","3",""
"275","brummen","3",""
"276","die Burg","3",""
"277","der Cent","3",""
"278","danach","3",""
"279","dann","3",""
"280","davor","3",""
"281","denn","3",""
"282","der Dieb","3",""
"283","der Dienstag","3",""
"284","dies","3",""
"285","der Donnerstag","3",""
"286","doppelt","3",""
"287","dort","3",""
"288","dumm","3",""
"289","durch","3",""
"290","der Durst","3",""
"291","die Eltern","3",""
"292","erklären","3",""
"293","fertig","3",""
"294","fliegen","3",""
"295","das Flugzeug","3",""
"296","der Freitag","3",""
"297","der Freund","3",""
"298","füttern","3",""
"299","gefallen","3",""
"300","gelb","3",""
"301","genug","3",""
"302","gern","3",""
"303","die Geschichte","3",""
"304","gestern","3",""
"305","gesund","3",""
