Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Konto;das;;Substantiv;neutr.;https://www.dwds.de/wb/Konto;0.0;4963.0;329;3601.0;18.09;3366.0;3659.0;2574.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Kontrolle;die;;Substantiv;fem.;https://www.dwds.de/wb/Kontrolle;0.0;1128.0;2095;921.0;82.45;1399.0;1094.0;11436.0
A2,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;kontrollieren;;;Verb;;https://www.dwds.de/wb/kontrollieren;0.0;2319.0;870;1739.0;42.96;4417.0;2110.0;5107.0
BUCHMEIER,HERMIT,LEIPZIG;kontrolliert;;;;;;;4681.0;355;;;3722.0;3952.0;2336.0
LEEDS,LEIPZIG;Konvention;;;;;;;;;4436.0;13.69;9623.0;;
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Konzentration;;;;;;;7635.0;184;3010.0;22.68;3466.0;7212.0;1080.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;konzentrieren;;;Verb;;https://www.dwds.de/wb/konzentrieren;0.0;2831.0;678;1467.0;51.88;3275.0;2184.0;4919.0
BUCHMEIER,HERMIT,LEIPZIG;konzentriert;;;;;;;6803.0;215;;;3448.0;5551.0;1506.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Konzept;;;;;;;7935.0;175;786.0;95.69;954.0;7197.0;1082.0
LEEDS,LEIPZIG;Konzeption;;;;;;;;;3785.0;16.84;6640.0;;
LEEDS,LEIPZIG;Konzern;;;;;;;;;2078.0;35.78;1229.0;;
