Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural
A1;Blick;der;;Substantiv;mask.;https://www.dwds.de/wb/Blick#1;0.0
B1;Blitz;der;;Substantiv;mask.;https://www.dwds.de/wb/Blitz;0.0
A2;Blog;;;Substantiv;neutr., mask.;https://www.dwds.de/wb/Blog;0.0
A1,BW1;Blume;die;;Substantiv;fem.;https://www.dwds.de/wb/Blume;0.0
A2;Bluse;die;;Substantiv;fem.;https://www.dwds.de/wb/Bluse;0.0
BW1;Blüte;die;;Substantiv;;;
B1;Boden;der;;Substantiv;mask.;https://www.dwds.de/wb/Boden;0.0
A1;Bogen;der;;Substantiv;mask.;https://www.dwds.de/wb/Bogen#2;0.0
A2;Bohne;die;;Substantiv;fem.;https://www.dwds.de/wb/Bohne;0.0
B1,BW3;Boot;das;;Substantiv;neutr.;https://www.dwds.de/wb/Boot#1;0.0
B1;Botschaft;die;;Substantiv;fem.;https://www.dwds.de/wb/Botschaft;0.0
B1;Braten;der;;Substantiv;mask.;https://www.dwds.de/wb/Braten;0.0
B1;Bremse;die;;Substantiv;fem.;https://www.dwds.de/wb/Bremse#1;0.0
A1,BW1;Brief;der;;Substantiv;mask.;https://www.dwds.de/wb/Brief;0.0
B1;Briefkasten;der;;Substantiv;mask.;https://www.dwds.de/wb/Briefkasten;0.0
A1;Briefmarke;die;;Substantiv;fem.;https://www.dwds.de/wb/Briefmarke;0.0
B1;Brieftasche;die;;Substantiv;fem.;https://www.dwds.de/wb/Brieftasche;0.0
B1;Briefträger;der;;Substantiv;mask.;https://www.dwds.de/wb/Brieftr%C3%A4ger;0.0
B1;Briefträgerin;die;;Substantiv;fem.;https://www.dwds.de/wb/Brieftr%C3%A4gerin;0.0
B1;Briefumschlag;der;;Substantiv;mask.;https://www.dwds.de/wb/Briefumschlag;0.0
A2,BW3;Brille;die;;Substantiv;fem.;https://www.dwds.de/wb/Brille;0.0
B1;Broschüre;die;;Substantiv;fem.;https://www.dwds.de/wb/Brosch%C3%BCre;0.0
A1,BW1;Brot;das;;Substantiv;neutr.;https://www.dwds.de/wb/Brot;0.0
A1,BW1;Bruder;der;Brüder;Substantiv;mask.;https://www.dwds.de/wb/Bruder;0.0
B1;Brust;die;;Substantiv;fem.;https://www.dwds.de/wb/Brust;0.0
A1;Brötchen;das;;Substantiv;neutr.;https://www.dwds.de/wb/Br%C3%B6tchen;0.0
B1;Brötli;das;;Substantiv;neutr.;https://www.dwds.de/wb/Br%C3%B6tli;0.0
