Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;IPA_phoneme;SAMPA_phoneme
A1;Postleitzahl;Postleitzahl;die;;Substantiv;fem.;https://www.dwds.de/wb/Postleitzahl;0.0;Nom;Sing;;;;pˈɔstlaɪtsˌɑːl;"p""OstlaIts%A:l"
B1;Poulet;Poulet;das;;Substantiv;;https://www.dwds.de/wb/Poulet;0.0;;;;;;pˈuːlət;"p""u:l@t"
B1;Praktikant;Praktikant;der;;Substantiv;mask.;https://www.dwds.de/wb/Praktikant;0.0;Nom;Sing;;;;pɾˌaktiːkˈant;"p4%akti:k""ant"
B1;Praktikantin;Praktikantin;die;;Substantiv;fem.;https://www.dwds.de/wb/Praktikantin;0.0;Nom;Sing;;;;pɾˈaktiːkˌantɪn;"p4""akti:k%antIn"
A1;Praktikum;Praktikum;das;;Substantiv;neut.;https://www.dwds.de/wb/Praktikum;0.0;Nom;Sing;;;;pɾˈaktiːkˌʊm;"p4""akti:k%Um"
A1;Praxis;Praxis;die;;Substantiv;fem.;https://www.dwds.de/wb/Praxis;0.0;Nom;Sing;;;;pɾˈaksɪs;"p4""aksIs"
A1,BW3;Preis;Preis;der;;Substantiv;mask.;https://www.dwds.de/wb/Preis;0.0;Nom;Sing;;;;pɾˈaɪs;"p4""aIs"
A1;Problem;Problem;das;;Substantiv;neut.;https://www.dwds.de/wb/Problem;0.0;Nom;Sing;;;;pɾoːblˈeːm;"p4o:bl""e:m"
A2;Produkt;Produkt;das;;Substantiv;neut.;https://www.dwds.de/wb/Produkt;0.0;Nom;Sing;;;;pɾoːdˈʊkt;"p4o:d""Ukt"
B1;Produktion;Produktion;die;;Substantiv;fem.;https://www.dwds.de/wb/Produktion;0.0;Nom;Sing;;;;pɾoːdʊktsjˈoːn;"p4o:dUktsj""o:n"
B1;Professor;Professor;der;;Substantiv;mask.;https://www.dwds.de/wb/Professor;0.0;Nom;Sing;;;;pɾoːfˈɛsoːɾ;"p4o:f""Eso:4"
B1;Professorin;Professorin;die;;Substantiv;fem.;https://www.dwds.de/wb/Professorin;0.0;Nom;Sing;;;;pɾoːfˈɛsoːrˌɪn;"p4o:f""Eso:r%In"
B1;Profi;Profi;der;;Substantiv;mask.;https://www.dwds.de/wb/Profi;0.0;Nom;Sing;;;;pɾoːfˈiː;"p4o:f""i:"
B1;Profisportler;Profisportler;der;;Substantiv;mask.;https://www.dwds.de/wb/Profisportler;0.0;Nom;Sing;;;;pɾoːfˈɪspɔɾtlɜ;"p4o:f""IspO4tl3"
B1;Profisportlerin;Profisportlerin;die;;Substantiv;fem.;https://www.dwds.de/wb/Profisportlerin;0.0;Nom;Sing;;;;pɾoːfˈɪspɔɾtlərˌɪn;"p4o:f""IspO4tl@r%In"
A2;Programm;Programm;das;;Substantiv;neut.;https://www.dwds.de/wb/Programm;0.0;Nom;Sing;;;;pɾoːɡɾˈam;"p4o:ɡ4""am"
